distance_from_peak_center_bp	distance_from_peak_center_mb	methylation_H3K27ac_peaks	support_H3K27ac_peaks	bootstrap_mean	bootstrap_std
-500000	-0.5	0.7471549201949957	32	0.6555883456885157	0.050107038259903224
-499900	-0.4999	0.7286446569658935	31	0.6539968871206618	0.048911285850141255
-499800	-0.4998	0.7174334641351562	36	0.6725426687353123	0.04836773328696723
-499700	-0.4997	0.7267387139175985	36	0.7250968432644278	0.05441608609122375
-499600	-0.4996	0.8195555284348418	34	0.6846446956055675	0.04073343208203484
-499500	-0.4995	0.7971237767598193	30	0.6531140836797772	0.08384267298211223
-499400	-0.4994	0.7272215654482674	29	0.670954881748832	0.04988755745123305
-499300	-0.4993	0.7769383779974844	26	0.7188269984554021	0.020658039032730585
-499200	-0.4992	0.6870342973895788	33	0.7030654666254184	0.04376600692996782
-499100	-0.4991	0.7324940600016129	27	0.693845257232506	0.07278432186198473
-499000	-0.499	0.6903703775928497	27	0.6725930642581097	0.12362176255941744
-498900	-0.4989	0.657972019590751	32	0.7058496153930849	0.1051077274712645
-498800	-0.4988	0.6755848978679031	29	0.7271996172784081	0.07544986004928383
-498700	-0.4987	0.7705495748593816	35	0.6697121035273685	0.04577269385493907
-498600	-0.4986	0.7628330048465917	32	0.7077505747078267	0.08929384352898369
-498500	-0.4985	0.7989800379646332	31	0.7378492383404396	0.03277974959660807
-498400	-0.4984	0.7403217395838184	29	0.7055822420302537	0.059360079008754674
-498300	-0.4983	0.7832733615670839	34	0.6640797949487629	0.040513883648170955
-498200	-0.4982	0.7621118509508154	30	0.6945333509126106	0.04927644580638808
-498100	-0.4981	0.7969874373288736	34	0.7262272211910985	0.09020488720126081
-498000	-0.498	0.7840647909066896	36	0.7148758357391279	0.03777409471469496
-497900	-0.4979	0.7507639357465253	32	0.6680726603781503	0.03876150466861164
-497800	-0.4978	0.8085767579666137	31	0.6939668819302132	0.028081049055012443
-497700	-0.4977	0.7460503957068908	28	0.6775838481791306	0.10931595345621137
-497600	-0.4976	0.827314825934301	28	0.7105210343538272	0.13657051893395025
-497500	-0.4975	0.8343490860137328	26	0.6562389826672684	0.11056953122639791
-497400	-0.4974	0.8059952078709212	30	0.6553530142235219	0.09132327371741464
-497300	-0.4973	0.7737149914540133	30	0.6958958027709266	0.08986540342340435
-497200	-0.4972	0.804948511353965	30	0.6959604135356201	0.07606093726485941
-497100	-0.4971	0.7535349524912929	27	0.6789140795705627	0.12103763759371913
-497000	-0.497	0.7632304179820979	31	0.7305636788625625	0.05394054039386706
-496900	-0.4969	0.798005049663157	35	0.6894075301474539	0.09388057071160454
-496800	-0.4968	0.8240368415602191	29	0.7300004805595863	0.06135399159213131
-496700	-0.4967	0.8150297743462505	33	0.6668585888457021	0.08123269517820875
-496600	-0.4966	0.8919077721384222	30	0.7095123421084859	0.11717369967133122
-496500	-0.4965	0.6997745129124924	33	0.6630084628661751	0.09976927125156747
-496400	-0.4964	0.7634183866911276	28	0.7155898660363393	0.06006607503430275
-496300	-0.4963	0.7975115542995835	28	0.7076047766355253	0.06657972530293402
-496200	-0.4962	0.8049091320923442	28	0.7337371534596921	0.06445459071075528
-496100	-0.4961	0.7902858266598839	29	0.6823552110973236	0.04522931779416987
-496000	-0.496	0.7985585900049168	28	0.7033100500429127	0.07432913379079538
-495900	-0.4959	0.8367191283331284	31	0.7698229634685874	0.04105332184664618
-495800	-0.4958	0.8003185476085358	30	0.6711697578140925	0.045480227945276196
-495700	-0.4957	0.794473822303085	30	0.6785936997043278	0.08390748810043869
-495600	-0.4956	0.7916006677266996	28	0.6983083214609077	0.05663209651795564
-495500	-0.4955	0.7827919996543906	26	0.7126026426489954	0.04862879386214482
-495400	-0.4954	0.8492796219965026	33	0.715955200292877	0.09094523624285603
-495300	-0.4953	0.8613809531268711	29	0.7075027873191171	0.07868272321727797
-495200	-0.4952	0.8264494903403582	35	0.7018712866692243	0.07976446059742767
-495100	-0.4951	0.8124359211389879	32	0.7331230162930764	0.08701493059382043
-495000	-0.495	0.8622354198079165	30	0.7182665729032516	0.07449848118770216
-494900	-0.4949	0.8131063385543045	32	0.7315489137499005	0.054031500163719534
-494800	-0.4948	0.7990942319160037	29	0.7312121628640569	0.08410237541376295
-494700	-0.4947	0.830909494836245	27	0.738191470813911	0.07839749718548242
-494600	-0.4946	0.8076481737924	27	0.6795452835154132	0.0954435536784396
-494500	-0.4945	0.8449186394849171	33	0.7131155664488272	0.08905487825627502
-494400	-0.4944	0.8547685414428129	33	0.70861664746179	0.05959645914077725
